Date	Time	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter
3/6/2023	14:24:00 PM	0.000000000	1.114516616	0.000000000	0.000000000	-0.000002393	0.000000178	NaN	-0.000000000	1
3/6/2023	14:24:22 PM	0.100000000	1.114516616	0.000000000	0.000000000	0.000005266	0.000000163	NaN	-0.000000000	1
3/6/2023	14:24:45 PM	0.200000000	1.126617789	0.000001000	0.000000000	0.000067790	0.000000203	NaN	-0.000000000	1
3/6/2023	14:25:08 PM	0.300000000	1.487232208	0.000025190	0.000000849	0.003371405	0.000078618	NaN	-0.000000000	1
3/6/2023	14:25:30 PM	0.400000000	1.627605677	0.000033050	0.000003514	0.004478265	0.000083474	NaN	-0.000000000	1
3/6/2023	14:25:53 PM	0.500000000	1.748617291	0.000041220	0.000001097	0.005586675	0.000081706	NaN	-0.000000000	1
3/6/2023	14:26:15 PM	0.600000000	1.869628787	0.000048620	0.000001033	0.006641721	0.000058058	NaN	-0.000000000	1
3/6/2023	14:26:38 PM	0.700000000	1.987010002	0.000056480	0.000001039	0.007746927	0.000059072	NaN	-0.000000000	1
3/6/2023	14:27:01 PM	0.800000000	2.110441923	0.000064530	0.000000658	0.008831447	0.000065861	NaN	-0.000000000	1
3/6/2023	14:27:23 PM	0.900000000	2.216932058	0.000071770	0.000001014	0.009854181	0.000088540	NaN	-0.000000000	1
3/6/2023	14:27:46 PM	1.000000000	2.340363741	0.000080080	0.000000861	0.010936572	0.000064468	NaN	-0.000000000	1
3/6/2023	14:28:08 PM	1.100000000	2.460165262	0.000088290	0.000001113	0.012054879	0.000135345	NaN	-0.000000000	1
3/6/2023	14:28:31 PM	1.200000000	2.573916197	0.000093890	0.000013520	0.013085184	0.000093065	NaN	-0.000000000	1
3/6/2023	14:28:54 PM	1.300000000	2.690087318	0.000101260	0.000014598	0.014168078	0.000081095	NaN	-0.000000000	1
3/6/2023	14:29:16 PM	1.400000000	2.809888840	0.000108080	0.000019163	0.015253065	0.000082945	NaN	-0.000000000	1
3/6/2023	14:29:39 PM	1.500000000	2.929690123	0.000119350	0.000000687	0.016315071	0.000090610	NaN	-0.000000000	1
3/6/2023	14:30:01 PM	1.600000000	3.044651270	0.000127370	0.000001116	0.017374315	0.000080059	NaN	-0.000000000	1
3/6/2023	14:30:24 PM	1.700000000	3.163242579	0.000133890	0.000013559	0.018491242	0.000063479	NaN	-0.000000000	1
3/6/2023	14:30:47 PM	1.800000000	3.284254074	0.000142140	0.000014388	0.019611784	0.000095647	NaN	-0.000000000	1
3/6/2023	14:31:09 PM	1.900000000	3.413736582	0.000150840	0.000000861	0.020647829	0.000085582	NaN	-0.000000000	1
3/6/2023	14:31:32 PM	2.000000000	3.535958290	0.000158210	0.000000671	0.021781607	0.000127320	NaN	-0.000000000	1
3/6/2023	14:31:55 PM	2.100000000	3.649708986	0.000165670	0.000000682	0.022765084	0.000174447	NaN	-0.000000000	1
3/6/2023	14:32:17 PM	2.200000000	3.763459921	0.000173790	0.000000795	0.023900309	0.000202156	NaN	-0.000000000	1
3/6/2023	14:32:40 PM	2.300000000	3.888101816	0.000175910	0.000031098	0.024981207	0.000305312	NaN	-0.000000000	1
3/6/2023	14:33:02 PM	2.400000000	4.016374111	0.000183050	0.000032360	0.026045003	0.000238436	NaN	-0.000000000	1
3/6/2023	14:33:25 PM	2.500000000	4.103502274	0.000190490	0.000033679	0.027134859	0.000259057	NaN	-0.000000000	1
3/6/2023	14:33:48 PM	2.600000000	4.239035606	0.000204590	0.000001215	0.028290141	0.000267837	NaN	-0.000000000	1
3/6/2023	14:34:10 PM	2.700000000	4.367307663	0.000212950	0.000001250	0.029458655	0.000234384	NaN	-0.000000000	1
3/6/2023	14:34:33 PM	2.800000000	4.477428436	0.000219720	0.000022250	0.030663992	0.000221515	NaN	-0.000000000	1
3/6/2023	14:34:55 PM	2.900000000	4.587548733	0.000230430	0.000001810	0.031732023	0.000194418	NaN	-0.000000000	1
3/6/2023	14:35:18 PM	3.000000000	4.713400841	0.000238570	0.000002124	0.032723301	0.000175451	NaN	-0.000000000	1
3/6/2023	14:35:41 PM	3.100000000	4.824731350	0.000247850	0.000001749	0.033851346	0.000225950	NaN	-0.000000000	1
3/6/2023	14:36:03 PM	3.200000000	4.961474419	0.000254400	0.000025768	0.034965118	0.000221734	NaN	-0.000000000	1
3/6/2023	14:36:26 PM	3.300000000	5.061913967	0.000259210	0.000037268	0.036018892	0.000220768	NaN	-0.000000000	1
3/6/2023	14:36:48 PM	3.400000000	5.170824528	0.000263310	0.000046582	0.037056805	0.000157646	NaN	-0.000000000	1
3/6/2023	14:37:11 PM	3.500000000	5.290626049	0.000277670	0.000001875	0.037957632	0.000166759	NaN	-0.000000000	1
3/6/2023	14:37:34 PM	3.600000000	5.409217358	0.000285960	0.000002453	0.039131637	0.000160755	NaN	-0.000000000	1
3/6/2023	14:37:56 PM	3.700000000	5.537489414	0.000286860	0.000041266	0.040198165	0.000162457	NaN	-0.000000000	1
3/6/2023	14:38:19 PM	3.800000000	5.651240349	0.000299800	0.000001639	0.041387260	0.000184179	NaN	-0.000000000	1
3/6/2023	14:38:41 PM	3.900000000	5.779512882	0.000306860	0.000001723	0.042478591	0.000189752	NaN	-0.000000000	1
3/6/2023	14:39:04 PM	4.000000000	5.907784939	0.000315010	0.000002091	0.043611009	0.000230602	NaN	-0.000000000	1
3/6/2023	14:39:27 PM	4.100000000	6.020325661	0.000321240	0.000001929	0.044700062	0.000296411	NaN	-0.000000000	1
3/6/2023	14:39:49 PM	4.200000000	6.164329529	0.000328430	0.000001929	0.045699777	0.000338259	NaN	-0.000000000	1
3/6/2023	14:40:12 PM	4.300000000	6.262349129	0.000336360	0.000002072	0.046848013	0.000390597	NaN	-0.000000000	1
3/6/2023	14:40:35 PM	4.400000000	6.382150173	0.000340280	0.000034442	0.047975848	0.000425421	NaN	-0.000000000	1
3/6/2023	14:40:57 PM	4.500000000	6.481379986	0.000351020	0.000002340	0.049146046	0.000514461	NaN	-0.000000000	1
3/6/2023	14:41:20 PM	4.600000000	6.660477161	0.000358680	0.000002403	0.050183612	0.000372575	NaN	-0.000000000	1
3/6/2023	14:41:42 PM	4.700000000	6.785119057	0.000369130	0.000002943	0.051364034	0.000289431	NaN	-0.000000000	1
3/6/2023	14:42:05 PM	4.800000000	6.901289940	0.000367880	0.000065056	0.052595496	0.000306311	NaN	-0.000000000	1
3/6/2023	14:42:28 PM	4.900000000	7.011410713	0.000377730	0.000066805	0.053693332	0.000283951	NaN	-0.000000000	1
3/6/2023	14:42:50 PM	5.000000000	7.115480423	0.000399250	0.000002037	0.054843690	0.000404319	NaN	-0.000000000	1
3/6/2023	14:43:13 PM	5.100000000	7.249803543	0.000406700	0.000002028	0.055728443	0.000517932	NaN	-0.000000000	1
3/6/2023	14:43:35 PM	5.200000000	7.346612453	0.000414120	0.000002879	0.056626833	0.000506664	NaN	-0.000000000	1
3/6/2023	14:43:58 PM	5.300000000	7.466413975	0.000419930	0.000004262	0.057629120	0.000454374	NaN	-0.000000000	1
3/6/2023	14:44:21 PM	5.400000000	7.588635921	0.000425400	0.000004830	0.058667945	0.000331414	NaN	-0.000000000	1
3/6/2023	14:44:43 PM	5.500000000	7.721748352	0.000433790	0.000003144	0.059599642	0.000219525	NaN	-0.000000000	1
3/6/2023	14:45:06 PM	5.600000000	7.800405979	0.000440100	0.000003914	0.060689445	0.000241779	NaN	-0.000000000	1
3/6/2023	14:45:28 PM	5.700000000	7.941989422	0.000436760	0.000062818	0.061726243	0.000390211	NaN	-0.000000000	1
3/6/2023	14:45:51 PM	5.800000000	8.083573341	0.000445910	0.000064136	0.062869930	0.000348880	NaN	-0.000000000	1
3/6/2023	14:46:14 PM	5.900000000	8.213055611	0.000449930	0.000064703	0.063701216	0.000421860	NaN	-0.000000000	1
3/6/2023	14:46:36 PM	6.000000000	8.318335533	0.000467770	0.000002150	0.065150589	0.000538682	NaN	-0.000000000	1
