Date Time (UTC)	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter	AoI (degree)	PD Temp (ºC)	Ambient Temp (ºC)	Ambient RH (%)
3/15/2023 13:01:44 	0.000000000	1.120567203	NaN	-0.000000000	-0.000002087	0.000000180	0.009409091	0.020594682	1	0	22.5	23.0	29
3/15/2023 13:02:07 	0.100000000	1.121777296	NaN	-0.000000000	0.000003671	0.000000199	0.004409091	0.002447633	1	0	22.5	23.0	29
3/15/2023 13:02:29 	0.200000000	1.127827883	NaN	-0.000000000	0.000050247	0.000000190	0.007045455	0.001439697	1	0	22.5	23.1	28
3/15/2023 13:02:52 	0.300000000	1.449718595	NaN	-0.000000000	0.002381409	0.000033907	0.155909091	0.005048852	1	0	22.6	23.1	28
3/15/2023 13:03:15 	0.400000000	1.558629036	NaN	-0.000000000	0.003146470	0.000042929	0.204545455	0.003243875	1	0	22.6	23.1	28
3/15/2023 13:03:38 	0.500000000	1.696582317	NaN	-0.000000000	0.003965568	0.000026529	0.256863636	0.004019272	1	0	22.6	23.1	28
3/15/2023 13:04:01 	0.600000000	1.806702733	NaN	-0.000000000	0.004724124	0.000029780	0.309590909	0.003625039	1	0	22.6	23.1	28
3/15/2023 13:04:23 	0.700000000	1.913192987	NaN	-0.000000000	0.005507776	0.000038032	0.364954545	0.005884108	1	0	22.6	23.1	28
3/15/2023 13:04:46 	0.800000000	2.020893335	NaN	-0.000000000	0.006294421	0.000043435	0.413000000	0.001095445	1	0	22.6	23.1	28
3/15/2023 13:05:09 	0.900000000	2.131013870	NaN	-0.000000000	0.007037978	0.000049835	0.464681818	0.004507065	1	0	22.6	23.1	28
3/15/2023 13:05:31 	1.000000000	2.243554592	NaN	-0.000000000	0.007847420	0.000057815	0.515954545	0.005461019	1	0	22.6	23.1	28
3/15/2023 13:05:54 	1.100000000	2.348834753	NaN	-0.000000000	0.008620225	0.000051823	0.569818182	0.002431797	1	0	22.6	23.0	28
3/15/2023 13:06:17 	1.200000000	2.458955288	NaN	-0.000000000	0.009414686	0.000074613	0.620454545	0.002724468	1	0	22.6	23.0	28
3/15/2023 13:06:39 	1.300000000	2.572705984	NaN	-0.000000000	0.010174150	0.000066041	0.670681818	0.004063697	1	0	22.6	23.0	28
3/15/2023 13:07:02 	1.400000000	2.680406332	NaN	-0.000000000	0.010943127	0.000063963	0.725590909	0.003576438	1	0	22.6	23.0	28
3/15/2023 13:07:25 	1.500000000	2.789316654	NaN	-0.000000000	0.011719737	0.000066372	0.779454545	0.005373335	1	0	22.6	23.1	28
3/15/2023 13:07:48 	1.600000000	2.892176628	NaN	-0.000000000	0.012484657	0.000080687	0.826363636	0.002941861	1	0	22.6	23.1	28
3/15/2023 13:08:11 	1.700000000	3.008347750	NaN	-0.000000000	0.013284113	0.000106106	0.881136364	0.005727525	1	0	22.6	23.1	28
3/15/2023 13:08:33 	1.800000000	3.113627672	NaN	-0.000000000	0.014053922	0.000137459	0.936272727	0.008698746	1	0	22.6	23.1	28
3/15/2023 13:08:56 	1.900000000	3.228588820	NaN	-0.000000000	0.014872478	0.000130723	0.990590909	0.004763498	1	0	22.6	23.1	28
3/15/2023 13:09:19 	2.000000000	3.342339754	NaN	-0.000000000	0.015597488	0.000166375	1.039954545	0.005930660	1	0	22.6	23.1	28
3/15/2023 13:09:42 	2.100000000	3.451250076	NaN	-0.000000000	0.016424298	0.000151034	1.095090909	0.006884106	1	0	22.6	23.1	28
3/15/2023 13:10:04 	2.200000000	3.562580824	NaN	-0.000000000	0.017145669	0.000144406	1.141545455	0.010543848	1	0	22.6	23.1	28
3/15/2023 13:10:27 	2.300000000	3.672701359	NaN	-0.000000000	0.017977536	0.000169374	1.198681818	0.007040145	1	0	22.6	23.1	28
3/15/2023 13:10:50 	2.400000000	3.779191494	NaN	-0.000000000	0.018810271	0.000129409	1.255500000	0.011670476	1	0	22.6	23.1	28
3/15/2023 13:11:12 	2.500000000	3.886891842	NaN	-0.000000000	0.019656662	0.000191662	1.300863636	0.007470244	1	0	22.6	23.1	28
3/15/2023 13:11:35 	2.600000000	4.009113312	NaN	-0.000000000	0.020395079	0.000155820	1.357772727	0.014434964	1	0	22.6	23.1	28
3/15/2023 13:11:58 	2.700000000	4.105922699	NaN	-0.000000000	0.021234382	0.000169796	1.414318182	0.006400284	1	0	22.6	23.1	28
3/15/2023 13:12:20 	2.800000000	4.218463421	NaN	-0.000000000	0.022037043	0.000142077	1.464909091	0.008768746	1	0	22.6	23.1	28
