Date	Time	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter
3/6/2023	17:10:43 PM	0.000000000	1.116936803	NaN	-0.000000000	-0.000002078	0.000000165	0.008318182	0.013500505	1
3/6/2023	17:11:06 PM	0.100000000	1.116936803	NaN	-0.000000000	0.000004838	0.000000201	0.004545455	0.001650069	1
3/6/2023	17:11:29 PM	0.200000000	1.124197483	NaN	-0.000000000	0.000060055	0.000000203	0.006136364	0.001790124	1
3/6/2023	17:11:51 PM	0.300000000	1.517485142	NaN	-0.000000000	0.003208822	0.000044055	0.095227273	0.001765837	1
3/6/2023	17:12:14 PM	0.400000000	1.663909078	NaN	-0.000000000	0.004151638	0.000055610	0.122500000	0.001612452	1
3/6/2023	17:12:36 PM	0.500000000	1.778870106	NaN	-0.000000000	0.005126900	0.000041730	0.149863636	0.000868646	1
3/6/2023	17:12:59 PM	0.600000000	1.897461414	NaN	-0.000000000	0.006075457	0.000044002	0.179272727	0.000786245	1
3/6/2023	17:13:22 PM	0.700000000	2.023313522	NaN	-0.000000000	0.007056850	0.000043960	0.207636364	0.001659682	1
3/6/2023	17:13:44 PM	0.800000000	2.133434057	NaN	-0.000000000	0.008010467	0.000064343	0.234727273	0.001586878	1
3/6/2023	17:14:07 PM	0.900000000	2.250815153	NaN	-0.000000000	0.008929169	0.000064531	0.263454545	0.001781215	1
3/6/2023	17:14:29 PM	1.000000000	2.371826887	NaN	-0.000000000	0.009913167	0.000061507	0.292500000	0.002626785	1
3/6/2023	17:14:52 PM	1.100000000	2.489207983	NaN	-0.000000000	0.010854576	0.000055617	0.321636364	0.001831542	1
3/6/2023	17:15:15 PM	1.200000000	2.609009504	NaN	-0.000000000	0.011777091	0.000071687	0.349772727	0.001779939	1
3/6/2023	17:15:37 PM	1.300000000	2.723970413	NaN	-0.000000000	0.012739742	0.000091099	0.377909091	0.002644033	1
3/6/2023	17:16:00 PM	1.400000000	2.837721348	NaN	-0.000000000	0.013671425	0.000073021	0.404636364	0.003107176	1
