Date	Time	Power Setpoint (mW)	Laser Display (mW)	Power Meter Mean (W)	Power Meter Std (W)	Keithley Mean (V)	Keithley Std (V)	Raspberry Mean (ADU)	Raspberry Std (ADU)	ND Filter
3/9/2023	17:18:13 PM	0.000000000	1.118146896	NaN	-0.000000000	-0.000002348	0.000000194	0.012954545	0.032685207	1
3/9/2023	17:18:36 PM	0.100000000	1.118146896	NaN	-0.000000000	0.000006553	0.000000202	0.003954545	0.001694912	1
3/9/2023	17:18:58 PM	0.200000000	1.126617789	NaN	-0.000000000	0.000081117	0.000000214	0.007272727	0.001751623	1
3/9/2023	17:19:21 PM	0.300000000	1.458189487	NaN	-0.000000000	0.003820663	0.000104048	0.176318182	0.006067424	1
3/9/2023	17:19:43 PM	0.400000000	1.570730209	NaN	-0.000000000	0.005146492	0.000107641	0.236681818	0.003881190	1
3/9/2023	17:20:06 PM	0.500000000	1.721994638	NaN	-0.000000000	0.006425132	0.000094111	0.297636364	0.003178765	1
3/9/2023	17:20:29 PM	0.600000000	1.832115173	NaN	-0.000000000	0.007710769	0.000084098	0.361409091	0.003015113	1
3/9/2023	17:20:51 PM	0.700000000	1.941025615	NaN	-0.000000000	0.009045708	0.000099004	0.424409091	0.003740442	1
3/9/2023	17:21:14 PM	0.800000000	2.063247442	NaN	-0.000000000	0.010338374	0.000101942	0.485954545	0.005981031	1
3/9/2023	17:21:36 PM	0.900000000	2.175788164	NaN	-0.000000000	0.011581594	0.000125135	0.544636364	0.006500350	1
3/9/2023	17:21:59 PM	1.000000000	2.295589447	NaN	-0.000000000	0.012894833	0.000104308	0.606772727	0.007022690	1
3/9/2023	17:22:22 PM	1.100000000	2.406920195	NaN	-0.000000000	0.014209257	0.000127901	0.666045455	0.006998052	1
3/9/2023	17:22:44 PM	1.200000000	2.533982277	NaN	-0.000000000	0.015544062	0.000147981	0.727590909	0.010504328	1
3/9/2023	17:23:07 PM	1.300000000	2.641682625	NaN	-0.000000000	0.016759644	0.000106249	0.789954545	0.006365746	1
3/9/2023	17:23:29 PM	1.400000000	2.760273933	NaN	-0.000000000	0.018085687	0.000139347	0.844090909	0.005271708	1
3/9/2023	17:23:52 PM	1.500000000	2.872814655	NaN	-0.000000000	0.019264848	0.000101801	0.913363636	0.007928086	1
3/9/2023	17:24:15 PM	1.600000000	2.985355616	NaN	-0.000000000	0.020546987	0.000060547	0.966818182	0.006893014	1
3/9/2023	17:24:37 PM	1.700000000	3.106367111	NaN	-0.000000000	0.021908236	0.000080965	1.035181818	0.008069302	1
3/9/2023	17:25:00 PM	1.800000000	3.218907833	NaN	-0.000000000	0.023190175	0.000101978	1.102318182	0.010932229	1
3/9/2023	17:25:22 PM	1.900000000	3.350810528	NaN	-0.000000000	0.024562033	0.000115695	1.165181818	0.008313461	1
3/9/2023	17:25:45 PM	2.000000000	3.460931063	NaN	-0.000000000	0.025874784	0.000147833	1.214045455	0.007051434	1
3/9/2023	17:26:08 PM	2.100000000	3.566210985	NaN	-0.000000000	0.027193335	0.000162518	1.282409091	0.006065551	1
3/9/2023	17:26:30 PM	2.200000000	3.701744080	NaN	-0.000000000	0.028554438	0.000179813	1.350090909	0.018191781	1
3/9/2023	17:26:53 PM	2.300000000	3.811864614	NaN	-0.000000000	0.029781196	0.000176904	1.414636364	0.011225175	1
3/9/2023	17:27:15 PM	2.400000000	3.923195124	NaN	-0.000000000	0.031194450	0.000228310	1.487863636	0.007476934	1
3/9/2023	17:27:38 PM	2.500000000	4.035736084	NaN	-0.000000000	0.032397171	0.000182507	1.534681818	0.009184968	1
3/9/2023	17:28:01 PM	2.600000000	4.145856380	NaN	-0.000000000	0.033743554	0.000167848	1.587363636	0.017976500	1
3/9/2023	17:28:23 PM	2.700000000	4.264447689	NaN	-0.000000000	0.035057741	0.000211979	1.667909091	0.017198573	1
3/9/2023	17:28:46 PM	2.800000000	4.372148037	NaN	-0.000000000	0.036339402	0.000220868	1.713318182	0.017921039	1
3/9/2023	17:29:08 PM	2.900000000	4.483479023	NaN	-0.000000000	0.037670441	0.000304587	1.790545455	0.020750246	1
3/9/2023	17:29:31 PM	3.000000000	4.615381241	NaN	-0.000000000	0.038929504	0.000285476	1.852863636	0.014788663	1
3/9/2023	17:29:54 PM	3.100000000	4.719451427	NaN	-0.000000000	0.040194388	0.000344435	1.907045455	0.011609166	1
3/9/2023	17:30:16 PM	3.200000000	4.840463161	NaN	-0.000000000	0.041634017	0.000385118	1.965590909	0.027812603	1
3/9/2023	17:30:39 PM	3.300000000	4.945743084	NaN	-0.000000000	0.042539376	0.000285582	2.017454545	0.023125154	1
3/9/2023	17:31:02 PM	3.400000000	5.064334393	NaN	-0.000000000	0.043787526	0.000324140	2.047500000	0.000000000	1
